mpg, cubicinches, hp, weightlbs, time-to-60, year
14,350,165,4209,12,1972
31.9,89,71,1925,14,1980
17,302,140,3449,11,1971
15,400,150,3761,10,1971
30.5,98,63,2051,17,1978
23,350,125,3900,17,1980
13,351,158,4363,13,1974
14,440,215,4312,9,1971
25.4,183,77,3530,20,1980
37.7,89,62,2050,17,1982
34,108,70,2245,17,1983
34.3,97,78,2188,16,1981
16,302,140,4141,14,1975
11,350,180,3664,11,1974
19.1,225,90,4350,19,1981
16.9,350,155,4360,15,1980
31.8,85,65,2020,19,1980
16,304,150,3433,12,1971
24,113,95,2278,16,1973
24,107,90,2430,15,1971
37.2,86,65,2019,16,1981
21.5,121,110,2600,13,1978
24,200,81,3012,18,1977
15.5,351,142,4054,14,1980
38.1,89,60,1968,19,1981
33,91,53,1795,17,1977
31,71,65,1773,19,1972
14,351,148,4657,14,1976
18,250,78,3574,21,1977
29.9,98,65,2380,21,1982
27,97,88,2130,15,1971
16,250,100,3278,18,1974
23,120,97,2506,15,1973
21,199,90,3270,15,1971
30,97,67,1985,16,1978
22.4,231,110,3415,16,1982
26,97,46,1835,21,1971
21.5,80,110,2720,14,1978
16.5,351,138,3955,13,1980
20.2,232,90,3265,18,1980
16,231,105,3897,19,1976
14,302,140,4638,16,1975
18.5,250,110,3645,16,1977
17.5,250,110,3520,16,1978
14,455,225,3086,10,1971
31.6,120,74,2635,18,1982
13,318,150,3755,14,1977
22,122,86,2395,16,1973
29,97,78,1940,15,1978
20.2,200,88,3060,17,1982
13,400,150,4464,12,1974
27.2,141,71,3190,25,1980
14,340,160,3609,8,1971
24,116,75,2158,16,1974
16.5,350,180,4380,12,1977
16,400,230,4278,10,1974
19,156,108,2930,16,1977
33.5,98,83,2075,16,1978
29,90,70,1937,14,1977
13,360,175,3821,11,1974
18,232,100,2945,16,1974
22,108,94,2379,17,1974
32.7,168,132,2910,11,1981
46.6,86,65,2110,18,1981
14,318,150,4237,15,1974
18.5,250,98,3525,19,1978
26,97,46,1950,21,1974
32,91,67,1965,16,1983
29.5,97,71,1825,12,1977
17.5,305,145,3880,13,1978
20,198,95,3102,17,1975
27,112,88,2640,19,1983
28,97,92,2288,17,1973
24,119,97,2545,17,1976
29,98,83,2219,17,1975
38,262,85,3015,17,1983
22.5,232,90,3085,18,1977
21.1,134,95,2515,15,1979
26,98,90,2265,16,1974
32.4,108,75,2350,17,1982
15.5,400,190,4325,12,1978
12,429,198,4952,12,1974
19.2,305,145,3425,13,1979
23,115,95,2694,15,1976
25,116,81,2220,17,1977
35,72,69,1613,18,1972
18,199,97,2774,16,1971
17.6,225,85,3465,17,1982
28,90,75,2125,15,1975
31,119,82,2720,19,1983
34.1,86,65,1975,15,1980
27.2,119,97,2300,15,1979
13,350,175,4100,13,1974
17,250,100,3329,16,1972
26,98,79,2255,18,1977
17,231,110,3907,21,1976
12,350,180,4499,13,1974
18,250,88,3139,15,1972
18.2,318,135,3830,15,1980
